Vardas             Pavarde          ND1  ND2  ND3  ND4  ND5  Egz. 
Vardas50           Pavarde50        9    2    1    0    10   0    
Vardas51           Pavarde51        3    1    1    3    7    7    
Vardas52           Pavarde52        6    3    8    1    2    7    
Vardas53           Pavarde53        6    2    7    4    10   10   
Vardas54           Pavarde54        9    5    9    8    4    8    
Vardas55           Pavarde55        7    2    10   3    9    8    
Vardas56           Pavarde56        8    10   10   3    9    10   
Vardas57           Pavarde57        10   5    6    0    7    6    
Vardas58           Pavarde58        10   4    2    4    0    7    
Vardas59           Pavarde59        1    0    0    3    0    1    
Vardas60           Pavarde60        0    7    9    7    7    8    
Vardas61           Pavarde61        0    3    10   9    0    6    
Vardas62           Pavarde62        5    4    4    0    7    3    
Vardas63           Pavarde63        2    6    10   0    3    1    
Vardas64           Pavarde64        6    0    0    6    3    6    
Vardas65           Pavarde65        1    5    2    8    5    4    
Vardas66           Pavarde66        9    9    6    7    1    9    
Vardas67           Pavarde67        8    2    10   5    2    2    
Vardas68           Pavarde68        8    10   2    0    8    4    
Vardas69           Pavarde69        3    1    5    1    3    7    
Vardas70           Pavarde70        0    1    6    8    0    6    
Vardas71           Pavarde71        4    7    0    7    0    6    
Vardas72           Pavarde72        2    9    0    1    6    4    
Vardas73           Pavarde73        4    10   1    4    6    0    
Vardas74           Pavarde74        8    0    6    0    0    5    
Vardas75           Pavarde75        4    7    10   0    5    3    
Vardas76           Pavarde76        10   2    6    3    3    3    
Vardas77           Pavarde77        1    2    9    5    9    0    
Vardas78           Pavarde78        1    9    2    2    9    0    
Vardas79           Pavarde79        1    9    3    3    5    8    
Vardas80           Pavarde80        9    2    8    9    10   10   
Vardas81           Pavarde81        6    5    2    8    6    9    
Vardas82           Pavarde82        9    4    0    7    3    0    
Vardas83           Pavarde83        2    10   2    3    3    5    
Vardas84           Pavarde84        8    0    8    7    9    5    
Vardas85           Pavarde85        1    1    7    9    10   7    
Vardas86           Pavarde86        3    4    8    8    6    0    
Vardas87           Pavarde87        4    5    4    8    6    1    
Vardas88           Pavarde88        0    3    0    8    9    7    
Vardas89           Pavarde89        2    5    8    6    1    1    
Vardas90           Pavarde90        3    7    0    4    5    2    
Vardas91           Pavarde91        1    9    1    9    5    5    
Vardas92           Pavarde92        0    10   9    9    1    8    
Vardas93           Pavarde93        1    9    4    1    1    7    
Vardas94           Pavarde94        5    10   4    0    6    5    
Vardas95           Pavarde95        1    4    9    8    1    2    
Vardas96           Pavarde96        4    4    10   9    3    7    
Vardas97           Pavarde97        8    7    7    9    7    2    
Vardas98           Pavarde98        4    9    2    4    7    8    
Vardas99           Pavarde99        4    8    1    5    1    1    
Vardas100          Pavarde100       7    7    3    3    3    4    
Vardas101          Pavarde101       10   2    1    8    5    5    
Vardas102          Pavarde102       3    8    10   5    8    5    
Vardas103          Pavarde103       3    4    10   2    1    10   
Vardas104          Pavarde104       4    10   7    4    9    3    
Vardas105          Pavarde105       1    6    3    6    6    6    
Vardas106          Pavarde106       6    5    1    4    9    3    
Vardas107          Pavarde107       2    5    5    2    1    1    
Vardas108          Pavarde108       0    9    8    0    3    9    
Vardas109          Pavarde109       4    3    1    6    8    9    
Vardas110          Pavarde110       2    2    6    8    5    8    
Vardas111          Pavarde111       5    8    10   3    3    3    
Vardas112          Pavarde112       9    10   4    9    7    9    
Vardas113          Pavarde113       5    4    2    2    6    0    
Vardas114          Pavarde114       9    7    2    0    2    0    
Vardas115          Pavarde115       3    7    7    10   9    6    
Vardas116          Pavarde116       9    4    5    9    8    0    
Vardas117          Pavarde117       2    1    1    5    1    7    
Vardas118          Pavarde118       9    1    9    3    3    4    
Vardas119          Pavarde119       2    3    6    4    1    1    
Vardas120          Pavarde120       4    0    2    5    0    0    
Vardas121          Pavarde121       2    7    6    9    5    8    
Vardas122          Pavarde122       7    1    3    9    9    6    
Vardas123          Pavarde123       9    9    1    7    7    9    
Vardas124          Pavarde124       7    6    5    8    2    6    
Vardas125          Pavarde125       2    1    6    6    0    8    
Vardas126          Pavarde126       3    10   2    1    10   7    
Vardas127          Pavarde127       10   6    4    3    1    9    
Vardas128          Pavarde128       6    4    6    8    9    9    
Vardas129          Pavarde129       6    4    5    9    7    6    
Vardas130          Pavarde130       2    6    0    3    9    10   
Vardas131          Pavarde131       5    4    0    10   8    6    
Vardas132          Pavarde132       7    1    2    5    2    6    
Vardas133          Pavarde133       0    0    0    5    6    6    
Vardas134          Pavarde134       9    8    10   10   6    1    
Vardas135          Pavarde135       6    10   7    8    4    5    
Vardas136          Pavarde136       7    9    3    2    2    0    
Vardas137          Pavarde137       3    5    5    6    0    7    
Vardas138          Pavarde138       1    5    9    0    4    8    
Vardas139          Pavarde139       9    9    6    4    3    2    
Vardas140          Pavarde140       10   6    5    1    5    1    
Vardas141          Pavarde141       9    10   5    4    10   1    
Vardas142          Pavarde142       10   2    10   7    4    9    
Vardas143          Pavarde143       8    5    10   7    6    0    
Vardas144          Pavarde144       6    5    5    0    5    6    
Vardas145          Pavarde145       0    3    4    4    10   5    
Vardas146          Pavarde146       4    8    3    8    1    10   
Vardas147          Pavarde147       10   1    9    2    10   7    
Vardas148          Pavarde148       6    10   9    3    0    5    
Vardas149          Pavarde149       0    10   10   2    7    6    
Vardas150          Pavarde150       5    2    7    1    6    7    
Vardas151          Pavarde151       4    6    5    2    2    5    
Vardas152          Pavarde152       7    3    0    4    2    8    
Vardas153          Pavarde153       3    8    4    3    8    9    
Vardas154          Pavarde154       6    10   1    9    3    8    
Vardas155          Pavarde155       3    2    4    6    3    0    
Vardas156          Pavarde156       10   1    1    9    1    4    
Vardas157          Pavarde157       4    3    1    5    6    2    
Vardas158          Pavarde158       3    2    2    3    6    8    
Vardas159          Pavarde159       8    5    6    3    8    0    
Vardas160          Pavarde160       5    4    5    7    6    2    
Vardas161          Pavarde161       7    0    1    7    6    0    
Vardas162          Pavarde162       7    6    1    0    2    10   
Vardas163          Pavarde163       2    8    8    10   7    9    
Vardas164          Pavarde164       1    5    3    0    6    5    
Vardas165          Pavarde165       7    9    4    10   1    10   
Vardas166          Pavarde166       3    4    6    7    1    9    
Vardas167          Pavarde167       1    10   10   1    3    10   
Vardas168          Pavarde168       4    4    1    5    3    1    
Vardas169          Pavarde169       9    2    9    10   8    3    
Vardas170          Pavarde170       10   1    6    7    4    10   
Vardas171          Pavarde171       1    9    4    0    7    1    
Vardas172          Pavarde172       3    8    0    3    10   3    
Vardas173          Pavarde173       1    1    6    9    10   10   
Vardas174          Pavarde174       0    6    5    9    3    9    
Vardas175          Pavarde175       2    2    7    9    5    1    
Vardas176          Pavarde176       10   10   4    5    6    1    
Vardas177          Pavarde177       1    3    10   0    5    3    
Vardas178          Pavarde178       7    10   3    10   10   1    
Vardas179          Pavarde179       0    6    9    3    10   9    
Vardas180          Pavarde180       9    5    0    7    5    10   
Vardas181          Pavarde181       9    4    8    6    9    0    
Vardas182          Pavarde182       0    6    1    5    8    5    
Vardas183          Pavarde183       8    7    7    0    1    6    
Vardas184          Pavarde184       8    7    8    3    7    0    
Vardas185          Pavarde185       8    10   3    4    4    9    
Vardas186          Pavarde186       1    10   6    8    8    7    
Vardas187          Pavarde187       4    7    9    8    6    6    
Vardas188          Pavarde188       5    2    1    8    5    2    
Vardas189          Pavarde189       0    10   7    8    2    8    
Vardas190          Pavarde190       8    2    2    4    8    2    
Vardas191          Pavarde191       6    10   7    8    0    5    
Vardas192          Pavarde192       1    8    7    8    8    3    
Vardas193          Pavarde193       1    2    4    9    8    7    
Vardas194          Pavarde194       10   10   6    2    2    9    
Vardas195          Pavarde195       1    9    2    2    9    8    
Vardas196          Pavarde196       1    4    7    1    9    4    
Vardas197          Pavarde197       1    9    1    2    5    6    
Vardas198          Pavarde198       3    4    5    5    5    3    
Vardas199          Pavarde199       7    8    0    8    0    4    
Vardas200          Pavarde200       5    9    3    5    0    2    
Vardas201          Pavarde201       10   10   0    3    9    8    
Vardas202          Pavarde202       6    7    2    4    6    3    
Vardas203          Pavarde203       8    9    7    2    1    3    
Vardas204          Pavarde204       5    6    1    6    1    8    
Vardas205          Pavarde205       5    9    6    10   2    9    
Vardas206          Pavarde206       7    4    8    7    0    0    
Vardas207          Pavarde207       1    5    2    3    1    7    
Vardas208          Pavarde208       10   2    10   1    10   8    
Vardas209          Pavarde209       7    8    2    5    1    4    
Vardas210          Pavarde210       5    1    7    10   1    4    
Vardas211          Pavarde211       0    10   3    5    7    8    
Vardas212          Pavarde212       10   6    7    7    8    7    
Vardas213          Pavarde213       1    6    5    6    10   0    
Vardas214          Pavarde214       4    8    5    10   5    7    
Vardas215          Pavarde215       7    9    1    7    4    1    
Vardas216          Pavarde216       6    3    9    1    1    5    
Vardas217          Pavarde217       10   3    9    6    4    0    
Vardas218          Pavarde218       10   2    9    4    3    6    
Vardas219          Pavarde219       3    3    9    1    2    3    
Vardas220          Pavarde220       4    5    10   9    7    2    
Vardas221          Pavarde221       3    10   8    8    10   8    
Vardas222          Pavarde222       8    8    5    2    10   0    
Vardas223          Pavarde223       4    4    4    10   8    4    
Vardas224          Pavarde224       0    6    7    1    10   0    
Vardas225          Pavarde225       2    1    4    7    8    10   
Vardas226          Pavarde226       4    3    4    1    9    6    
Vardas227          Pavarde227       3    2    7    9    1    9    
Vardas228          Pavarde228       10   1    7    4    3    0    
Vardas229          Pavarde229       3    2    2    3    7    2    
Vardas230          Pavarde230       8    0    0    0    2    10   
Vardas231          Pavarde231       2    2    6    4    9    1    
Vardas232          Pavarde232       1    2    0    0    0    0    
Vardas233          Pavarde233       4    3    3    5    0    0    
Vardas234          Pavarde234       7    3    8    1    8    7    
Vardas235          Pavarde235       7    8    7    4    10   2    
Vardas236          Pavarde236       5    7    1    5    10   8    
Vardas237          Pavarde237       7    2    0    3    1    9    
Vardas238          Pavarde238       7    3    9    0    0    0    
Vardas239          Pavarde239       6    5    3    5    7    10   
Vardas240          Pavarde240       8    2    5    9    10   0    
Vardas241          Pavarde241       5    7    4    4    5    9    
Vardas242          Pavarde242       1    7    3    10   4    2    
Vardas243          Pavarde243       7    4    2    9    3    4    
Vardas244          Pavarde244       4    1    0    8    3    0    
Vardas245          Pavarde245       2    3    6    7    4    9    
Vardas246          Pavarde246       6    10   8    9    1    2    
Vardas247          Pavarde247       10   6    1    10   6    5    
Vardas248          Pavarde248       10   8    7    5    10   2    
Vardas249          Pavarde249       0    1    7    2    2    10   
Vardas250          Pavarde250       1    4    10   2    9    1    
Vardas251          Pavarde251       9    0    3    7    3    0    
Vardas252          Pavarde252       2    4    7    9    2    5    
Vardas253          Pavarde253       6    10   0    5    10   0    
Vardas254          Pavarde254       10   4    10   6    5    5    
Vardas255          Pavarde255       0    6    2    10   9    3    
Vardas256          Pavarde256       2    1    5    10   3    10   
Vardas257          Pavarde257       1    7    3    4    2    10   
Vardas258          Pavarde258       0    8    3    5    0    10   
Vardas259          Pavarde259       5    10   10   6    2    8    
Vardas260          Pavarde260       7    2    2    10   5    6    
Vardas261          Pavarde261       5    9    7    2    6    0    
Vardas262          Pavarde262       8    2    8    1    2    5    
Vardas263          Pavarde263       4    4    9    6    9    5    
Vardas264          Pavarde264       5    10   2    4    3    2    
Vardas265          Pavarde265       5    3    1    1    6    5    
Vardas266          Pavarde266       1    4    8    7    5    7    
Vardas267          Pavarde267       5    0    8    7    2    2    
Vardas268          Pavarde268       4    9    10   8    10   10   
Vardas269          Pavarde269       10   3    1    9    10   6    
Vardas270          Pavarde270       3    5    1    2    3    10   
Vardas271          Pavarde271       9    9    10   9    1    2    
Vardas272          Pavarde272       2    0    5    6    5    5    
Vardas273          Pavarde273       8    5    10   3    6    6    
Vardas274          Pavarde274       0    4    9    3    1    3    
Vardas275          Pavarde275       6    9    10   5    8    4    
Vardas276          Pavarde276       5    4    7    7    8    10   
Vardas277          Pavarde277       4    5    1    10   0    7    
Vardas278          Pavarde278       5    5    4    0    5    7    
Vardas279          Pavarde279       0    8    9    9    0    4    
Vardas280          Pavarde280       7    3    7    5    9    0    
Vardas281          Pavarde281       3    2    4    10   7    9    
Vardas282          Pavarde282       1    0    1    2    5    8    
Vardas283          Pavarde283       4    10   6    5    6    4    
Vardas284          Pavarde284       10   4    9    9    6    10   
Vardas285          Pavarde285       8    9    3    2    2    9    
Vardas286          Pavarde286       2    8    8    6    0    7    
Vardas287          Pavarde287       6    1    0    2    0    5    
Vardas288          Pavarde288       2    8    7    7    5    2    
Vardas289          Pavarde289       10   10   1    3    8    0    
Vardas290          Pavarde290       3    9    6    9    7    7    
Vardas291          Pavarde291       9    7    1    5    9    10   
Vardas292          Pavarde292       4    0    9    4    5    9    
Vardas293          Pavarde293       6    2    5    9    2    9    
Vardas294          Pavarde294       7    1    9    3    3    4    
Vardas295          Pavarde295       2    2    7    8    5    9    
Vardas296          Pavarde296       6    6    4    5    4    3    
Vardas297          Pavarde297       2    6    10   7    2    10   
Vardas298          Pavarde298       10   9    4    9    10   4    
Vardas299          Pavarde299       0    7    3    5    2    1    
Vardas300          Pavarde300       1    10   8    3    1    3    
Vardas301          Pavarde301       0    1    4    5    2    2    
Vardas302          Pavarde302       6    7    8    2    2    7    
Vardas303          Pavarde303       1    8    7    0    7    3    
Vardas304          Pavarde304       4    8    5    4    1    6    
Vardas305          Pavarde305       1    4    0    9    1    10   
Vardas306          Pavarde306       9    6    1    4    3    1    
Vardas307          Pavarde307       3    6    9    5    2    10   
Vardas308          Pavarde308       9    6    10   0    9    0    
Vardas309          Pavarde309       3    2    8    9    7    7    
Vardas310          Pavarde310       9    4    4    6    10   1    
Vardas311          Pavarde311       6    9    7    9    3    2    
Vardas312          Pavarde312       10   4    1    5    1    10   
Vardas313          Pavarde313       3    0    0    10   4    2    
Vardas314          Pavarde314       2    5    4    7    1    10   
Vardas315          Pavarde315       5    7    7    7    0    0    
Vardas316          Pavarde316       1    2    6    9    4    9    
Vardas317          Pavarde317       5    5    10   8    1    1    
Vardas318          Pavarde318       0    6    7    8    8    10   
Vardas319          Pavarde319       9    8    1    7    6    7    
Vardas320          Pavarde320       9    5    2    1    7    2    
Vardas321          Pavarde321       10   6    8    10   7    3    
Vardas322          Pavarde322       1    7    0    8    5    8    
Vardas323          Pavarde323       0    4    1    2    10   2    
Vardas324          Pavarde324       8    1    6    0    9    9    
Vardas325          Pavarde325       10   4    7    5    7    7    
Vardas326          Pavarde326       7    5    0    6    4    3    
Vardas327          Pavarde327       3    8    10   7    9    2    
Vardas328          Pavarde328       8    9    3    7    3    1    
Vardas329          Pavarde329       5    3    4    2    0    9    
Vardas330          Pavarde330       2    1    2    9    5    2    
Vardas331          Pavarde331       0    0    9    0    10   1    
Vardas332          Pavarde332       10   9    6    9    8    3    
Vardas333          Pavarde333       1    8    0    2    3    2    
Vardas334          Pavarde334       5    9    4    1    7    3    
Vardas335          Pavarde335       6    7    8    2    3    7    
Vardas336          Pavarde336       2    1    2    2    6    9    
Vardas337          Pavarde337       9    5    1    5    1    3    
Vardas338          Pavarde338       10   2    8    5    3    6    
Vardas339          Pavarde339       6    5    2    2    7    6    
Vardas340          Pavarde340       8    10   6    6    1    0    
Vardas341          Pavarde341       9    0    2    4    1    0    
Vardas342          Pavarde342       9    3    0    3    4    0    
Vardas343          Pavarde343       10   1    7    2    0    7    
Vardas344          Pavarde344       1    2    5    10   6    6    
Vardas345          Pavarde345       1    2    8    9    2    3    
Vardas346          Pavarde346       0    1    9    7    8    0    
Vardas347          Pavarde347       6    5    0    1    7    10   
Vardas348          Pavarde348       0    4    6    1    8    5    
Vardas349          Pavarde349       7    6    8    4    6    1    
Vardas350          Pavarde350       8    6    1    2    4    2    
Vardas351          Pavarde351       10   9    4    8    8    9    
Vardas352          Pavarde352       9    9    6    9    6    0    
Vardas353          Pavarde353       1    0    7    1    0    3    
Vardas354          Pavarde354       0    8    9    6    5    1    
Vardas355          Pavarde355       1    8    3    10   2    0    
Vardas356          Pavarde356       4    8    7    4    8    5    
Vardas357          Pavarde357       5    6    3    9    10   3    
Vardas358          Pavarde358       6    8    4    4    2    6    
Vardas359          Pavarde359       7    10   8    9    2    2    
Vardas360          Pavarde360       10   4    3    7    7    2    
Vardas361          Pavarde361       5    10   6    0    8    10   
Vardas362          Pavarde362       2    2    4    4    1    1    
Vardas363          Pavarde363       4    2    7    7    9    8    
Vardas364          Pavarde364       7    1    6    2    0    3    
Vardas365          Pavarde365       0    10   8    8    6    7    
Vardas366          Pavarde366       0    8    9    10   2    5    
Vardas367          Pavarde367       5    10   8    0    4    4    
Vardas368          Pavarde368       9    5    8    10   5    1    
Vardas369          Pavarde369       4    1    4    8    1    4    
Vardas370          Pavarde370       7    4    8    8    9    0    
Vardas371          Pavarde371       1    8    0    7    2    4    
Vardas372          Pavarde372       8    5    7    7    0    6    
Vardas373          Pavarde373       9    3    1    10   9    0    
Vardas374          Pavarde374       1    2    3    3    10   6    
Vardas375          Pavarde375       0    9    0    4    5    10   
Vardas376          Pavarde376       6    3    2    0    5    2    
Vardas377          Pavarde377       1    4    8    9    8    7    
Vardas378          Pavarde378       4    6    6    5    4    9    
Vardas379          Pavarde379       3    0    5    10   4    5    
Vardas380          Pavarde380       0    4    6    2    6    4    
Vardas381          Pavarde381       9    10   2    2    0    7    
Vardas382          Pavarde382       6    1    8    5    1    0    
Vardas383          Pavarde383       6    4    0    6    10   9    
Vardas384          Pavarde384       1    9    10   8    3    1    
Vardas385          Pavarde385       10   9    4    8    10   0    
Vardas386          Pavarde386       1    3    8    0    5    7    
Vardas387          Pavarde387       8    8    3    3    6    0    
Vardas388          Pavarde388       9    6    2    5    7    9    
Vardas389          Pavarde389       4    8    2    0    1    0    
Vardas390          Pavarde390       10   5    8    9    5    0    
Vardas391          Pavarde391       0    0    2    9    8    10   
Vardas392          Pavarde392       2    7    5    8    4    3    
Vardas393          Pavarde393       5    8    2    2    7    9    
Vardas394          Pavarde394       8    7    6    6    4    7    
Vardas395          Pavarde395       6    5    3    5    9    5    
Vardas396          Pavarde396       7    10   8    10   4    7    
Vardas397          Pavarde397       10   3    5    9    3    1    
Vardas398          Pavarde398       2    5    9    0    8    4    
Vardas399          Pavarde399       0    1    7    9    9    7    
Vardas400          Pavarde400       1    6    1    4    5    4    
Vardas401          Pavarde401       2    6    3    3    2    6    
Vardas402          Pavarde402       8    2    4    7    5    2    
Vardas403          Pavarde403       4    4    1    1    8    0    
Vardas404          Pavarde404       1    6    0    4    2    6    
Vardas405          Pavarde405       4    6    4    8    1    7    
Vardas406          Pavarde406       8    7    7    4    5    4    
Vardas407          Pavarde407       2    1    1    7    2    1    
Vardas408          Pavarde408       8    10   7    1    7    4    
Vardas409          Pavarde409       6    3    4    8    7    5    
Vardas410          Pavarde410       2    2    10   1    2    6    
Vardas411          Pavarde411       1    6    4    0    0    8    
Vardas412          Pavarde412       2    8    7    5    9    2    
Vardas413          Pavarde413       9    4    2    5    3    1    
Vardas414          Pavarde414       7    3    1    10   6    2    
Vardas415          Pavarde415       10   7    0    5    6    7    
Vardas416          Pavarde416       1    10   6    3    5    7    
Vardas417          Pavarde417       3    5    5    6    4    10   
Vardas418          Pavarde418       6    9    0    6    5    0    
Vardas419          Pavarde419       0    0    6    5    7    8    
Vardas420          Pavarde420       1    7    6    2    8    9    
Vardas421          Pavarde421       9    4    6    9    0    3    
Vardas422          Pavarde422       6    0    1    3    1    0    
Vardas423          Pavarde423       4    6    10   5    10   8    
Vardas424          Pavarde424       10   6    1    9    0    9    
Vardas425          Pavarde425       10   3    6    0    4    2    
Vardas426          Pavarde426       3    4    7    10   3    7    
Vardas427          Pavarde427       8    10   1    10   4    10   
Vardas428          Pavarde428       6    7    4    10   7    6    
Vardas429          Pavarde429       5    3    10   8    2    7    
Vardas430          Pavarde430       1    8    5    3    7    7    
Vardas431          Pavarde431       2    3    0    3    8    6    
Vardas432          Pavarde432       2    5    5    8    1    8    
Vardas433          Pavarde433       7    9    0    7    0    4    
Vardas434          Pavarde434       4    8    9    2    0    7    
Vardas435          Pavarde435       3    6    1    5    7    6    
Vardas436          Pavarde436       7    1    8    9    4    4    
Vardas437          Pavarde437       10   0    8    0    2    5    
Vardas438          Pavarde438       6    6    10   9    4    2    
Vardas439          Pavarde439       1    4    0    4    8    2    
Vardas440          Pavarde440       0    6    1    7    4    3    
Vardas441          Pavarde441       10   1    6    5    8    4    
Vardas442          Pavarde442       4    7    8    10   0    10   
Vardas443          Pavarde443       5    8    9    8    6    3    
Vardas444          Pavarde444       1    1    5    8    6    6    
Vardas445          Pavarde445       4    5    10   1    8    1    
Vardas446          Pavarde446       7    2    8    9    10   2    
Vardas447          Pavarde447       9    7    7    4    9    1    
Vardas448          Pavarde448       0    1    7    5    3    10   
Vardas449          Pavarde449       6    3    7    3    7    0    
Vardas450          Pavarde450       6    5    3    10   2    2    
Vardas451          Pavarde451       8    6    7    1    5    0    
Vardas452          Pavarde452       6    9    9    5    7    4    
Vardas453          Pavarde453       9    4    4    7    9    5    
Vardas454          Pavarde454       0    3    2    7    0    2    
Vardas455          Pavarde455       4    1    2    10   7    9    
Vardas456          Pavarde456       0    3    10   3    7    8    
Vardas457          Pavarde457       5    6    2    5    2    7    
Vardas458          Pavarde458       6    8    6    9    2    10   
Vardas459          Pavarde459       5    10   5    2    3    4    
Vardas460          Pavarde460       0    6    1    10   5    7    
Vardas461          Pavarde461       0    4    3    10   2    10   
Vardas462          Pavarde462       9    6    0    0    0    6    
Vardas463          Pavarde463       6    1    2    8    3    3    
Vardas464          Pavarde464       9    10   5    8    4    2    
Vardas465          Pavarde465       1    5    0    4    6    5    
Vardas466          Pavarde466       4    0    6    1    10   3    
Vardas467          Pavarde467       0    2    10   2    6    7    
Vardas468          Pavarde468       4    7    6    0    1    2    
Vardas469          Pavarde469       8    4    9    10   3    3    
Vardas470          Pavarde470       6    6    7    3    5    10   
Vardas471          Pavarde471       3    9    0    8    7    2    
Vardas472          Pavarde472       9    5    2    7    4    7    
Vardas473          Pavarde473       1    0    8    0    7    5    
Vardas474          Pavarde474       7    0    2    9    0    3    
Vardas475          Pavarde475       0    9    1    6    10   9    
Vardas476          Pavarde476       10   1    8    2    9    0    
Vardas477          Pavarde477       2    5    6    4    3    3    
Vardas478          Pavarde478       4    0    1    6    0    10   
Vardas479          Pavarde479       5    7    9    10   5    4    
Vardas480          Pavarde480       1    9    8    7    5    3    
Vardas481          Pavarde481       7    9    3    1    6    10   
Vardas482          Pavarde482       5    9    9    3    7    1    
Vardas483          Pavarde483       10   0    0    5    6    1    
Vardas484          Pavarde484       1    2    4    0    5    4    
Vardas485          Pavarde485       6    1    4    10   6    3    
Vardas486          Pavarde486       1    4    3    5    9    1    
Vardas487          Pavarde487       10   2    8    2    5    8    
Vardas488          Pavarde488       9    10   7    9    10   5    
Vardas489          Pavarde489       9    3    4    0    8    10   
Vardas490          Pavarde490       0    9    3    10   3    2    
Vardas491          Pavarde491       5    4    9    6    1    5    
Vardas492          Pavarde492       7    0    5    9    8    9    
Vardas493          Pavarde493       4    4    2    7    1    10   
Vardas494          Pavarde494       2    9    9    0    0    7    
Vardas495          Pavarde495       1    8    5    5    7    1    
Vardas496          Pavarde496       5    4    6    6    5    6    
Vardas497          Pavarde497       4    4    5    10   5    0    
Vardas498          Pavarde498       8    4    6    2    10   2    
Vardas499          Pavarde499       8    5    3    1    9    3    
Vardas500          Pavarde500       0    1    9    4    0    3    
Vardas501          Pavarde501       4    7    6    10   10   6    
Vardas502          Pavarde502       5    8    8    0    10   4    
Vardas503          Pavarde503       5    8    4    5    1    3    
Vardas504          Pavarde504       4    2    10   8    0    5    
Vardas505          Pavarde505       9    1    9    4    2    4    
Vardas506          Pavarde506       0    1    4    2    9    1    
Vardas507          Pavarde507       3    3    1    1    1    1    
Vardas508          Pavarde508       0    2    7    7    2    2    
Vardas509          Pavarde509       0    7    3    4    4    3    
Vardas510          Pavarde510       6    0    10   5    10   10   
Vardas511          Pavarde511       6    6    10   10   3    10   
Vardas512          Pavarde512       5    2    8    9    1    10   
Vardas513          Pavarde513       1    8    1    3    3    5    
Vardas514          Pavarde514       3    9    5    6    5    8    
Vardas515          Pavarde515       3    4    5    10   10   10   
Vardas516          Pavarde516       4    6    1    10   9    1    
Vardas517          Pavarde517       1    5    0    3    3    10   
Vardas518          Pavarde518       1    1    10   8    4    3    
Vardas519          Pavarde519       8    2    8    5    3    4    
Vardas520          Pavarde520       2    9    1    9    7    9    
Vardas521          Pavarde521       2    5    9    6    2    4    
Vardas522          Pavarde522       4    1    3    2    0    1    
Vardas523          Pavarde523       5    9    6    4    7    6    
Vardas524          Pavarde524       8    2    2    1    10   9    
Vardas525          Pavarde525       7    4    6    3    0    2    
Vardas526          Pavarde526       7    7    2    8    10   4    
Vardas527          Pavarde527       2    10   2    2    8    1    
Vardas528          Pavarde528       6    5    5    10   5    3    
Vardas529          Pavarde529       3    0    8    0    10   0    
Vardas530          Pavarde530       4    7    1    2    4    5    
Vardas531          Pavarde531       8    4    0    8    4    1    
Vardas532          Pavarde532       8    9    0    9    4    7    
Vardas533          Pavarde533       10   8    8    10   10   4    
Vardas534          Pavarde534       5    4    5    9    7    3    
Vardas535          Pavarde535       0    4    3    5    0    1    
