Vardas             Pavarde          ND1  ND2  ND3  ND4  Egz. 
Vardas128          Pavarde128       2    6    10   6    10   
Vardas129          Pavarde129       5    10   0    5    9    
Vardas130          Pavarde130       4    5    4    1    6    
Vardas131          Pavarde131       1    9    9    7    6    
Vardas132          Pavarde132       9    1    7    3    1    
Vardas133          Pavarde133       10   4    4    8    7    
Vardas134          Pavarde134       8    6    0    7    3    
Vardas135          Pavarde135       8    9    0    4    10   
Vardas136          Pavarde136       5    4    3    0    0    
Vardas137          Pavarde137       2    6    6    9    0    
Vardas138          Pavarde138       8    5    10   5    6    
Vardas139          Pavarde139       5    10   7    6    6    
Vardas140          Pavarde140       10   10   6    9    5    
Vardas141          Pavarde141       6    10   0    4    10   
Vardas142          Pavarde142       0    1    3    1    10   
Vardas143          Pavarde143       0    2    9    4    9    
Vardas144          Pavarde144       9    5    0    10   8    
Vardas145          Pavarde145       8    6    10   10   4    
Vardas146          Pavarde146       2    7    7    1    8    
Vardas147          Pavarde147       4    2    0    4    0    
Vardas148          Pavarde148       3    1    6    10   10   
Vardas149          Pavarde149       7    7    6    10   8    
Vardas150          Pavarde150       4    4    3    8    10   
Vardas151          Pavarde151       10   4    6    7    7    
Vardas152          Pavarde152       5    9    1    0    9    
Vardas153          Pavarde153       7    10   3    3    6    
Vardas154          Pavarde154       5    10   1    4    8    
Vardas155          Pavarde155       0    1    7    7    2    
Vardas156          Pavarde156       4    4    10   2    2    
Vardas157          Pavarde157       8    7    3    1    9    
Vardas158          Pavarde158       2    9    4    0    8    
Vardas159          Pavarde159       7    6    0    1    3    
Vardas160          Pavarde160       5    7    4    10   6    
Vardas161          Pavarde161       0    1    5    10   1    
Vardas162          Pavarde162       0    9    6    0    0    
Vardas163          Pavarde163       5    10   8    6    9    
Vardas164          Pavarde164       2    4    9    10   3    
Vardas165          Pavarde165       7    4    0    2    3    
Vardas166          Pavarde166       6    6    10   2    4    
Vardas167          Pavarde167       7    8    1    0    1    
Vardas168          Pavarde168       5    2    8    9    0    
Vardas169          Pavarde169       5    8    4    9    0    
Vardas170          Pavarde170       2    2    1    7    8    
Vardas171          Pavarde171       6    4    4    1    10   
Vardas172          Pavarde172       10   1    7    7    9    
Vardas173          Pavarde173       0    6    1    4    5    
Vardas174          Pavarde174       8    9    1    5    6    
Vardas175          Pavarde175       2    8    7    7    0    
Vardas176          Pavarde176       4    2    4    4    4    
Vardas177          Pavarde177       8    1    4    3    6    
Vardas178          Pavarde178       9    8    3    1    8    
Vardas179          Pavarde179       7    6    3    10   7    
Vardas180          Pavarde180       7    10   3    3    9    
Vardas181          Pavarde181       3    2    0    6    7    
Vardas182          Pavarde182       8    4    1    0    9    
Vardas183          Pavarde183       9    6    8    9    10   
Vardas184          Pavarde184       6    9    3    5    7    
Vardas185          Pavarde185       4    10   2    3    5    
Vardas186          Pavarde186       0    4    9    5    7    
Vardas187          Pavarde187       6    2    8    1    4    
Vardas188          Pavarde188       9    7    3    7    9    
Vardas189          Pavarde189       6    0    4    5    2    
Vardas190          Pavarde190       10   7    10   4    5    
Vardas191          Pavarde191       1    9    1    0    2    
Vardas192          Pavarde192       8    2    8    5    10   
Vardas193          Pavarde193       3    4    2    8    7    
Vardas194          Pavarde194       7    4    2    6    7    
Vardas195          Pavarde195       5    1    1    10   8    
Vardas196          Pavarde196       8    6    9    0    10   
Vardas197          Pavarde197       2    5    9    3    8    
Vardas198          Pavarde198       8    2    1    4    4    
Vardas199          Pavarde199       2    5    10   2    10   
Vardas200          Pavarde200       10   5    9    0    5    
Vardas201          Pavarde201       7    0    4    9    10   
Vardas202          Pavarde202       0    4    4    9    2    
Vardas203          Pavarde203       7    8    8    10   4    
Vardas204          Pavarde204       10   10   8    0    4    
Vardas205          Pavarde205       0    3    6    8    0    
Vardas206          Pavarde206       6    5    5    7    9    
Vardas207          Pavarde207       2    6    5    4    8    
Vardas208          Pavarde208       0    9    1    0    3    
Vardas209          Pavarde209       9    4    9    2    6    
Vardas210          Pavarde210       7    10   6    5    7    
Vardas211          Pavarde211       3    10   4    6    6    
Vardas212          Pavarde212       4    7    7    6    2    
Vardas213          Pavarde213       9    4    9    2    8    
Vardas214          Pavarde214       8    9    7    8    1    
Vardas215          Pavarde215       0    7    0    6    0    
Vardas216          Pavarde216       4    5    2    3    3    
Vardas217          Pavarde217       3    4    8    0    10   
Vardas218          Pavarde218       2    4    0    6    8    
Vardas219          Pavarde219       7    8    1    3    10   
Vardas220          Pavarde220       5    3    7    2    10   
Vardas221          Pavarde221       9    5    1    6    9    
Vardas222          Pavarde222       8    6    4    8    0    
Vardas223          Pavarde223       4    1    9    4    8    
Vardas224          Pavarde224       3    5    0    10   3    
Vardas225          Pavarde225       6    6    7    3    6    
Vardas226          Pavarde226       10   3    7    5    7    
Vardas227          Pavarde227       2    0    3    0    8    
Vardas228          Pavarde228       3    9    9    9    6    
Vardas229          Pavarde229       2    10   0    2    7    
Vardas230          Pavarde230       4    2    9    10   9    
Vardas231          Pavarde231       2    1    10   2    8    
Vardas232          Pavarde232       8    6    10   9    8    
Vardas233          Pavarde233       4    3    0    0    7    
Vardas234          Pavarde234       8    3    2    1    7    
Vardas235          Pavarde235       1    1    8    6    2    
Vardas236          Pavarde236       7    5    5    4    7    
Vardas237          Pavarde237       6    9    1    4    5    
Vardas238          Pavarde238       0    9    4    6    2    
Vardas239          Pavarde239       3    2    9    7    0    
Vardas240          Pavarde240       8    8    1    2    8    
Vardas241          Pavarde241       9    7    6    7    9    
Vardas242          Pavarde242       3    6    2    0    0    
Vardas243          Pavarde243       0    2    6    9    8    
Vardas244          Pavarde244       0    2    9    1    2    
Vardas245          Pavarde245       5    3    6    3    5    
Vardas246          Pavarde246       0    5    5    7    10   
Vardas247          Pavarde247       10   6    2    3    7    
Vardas248          Pavarde248       5    6    2    9    10   
Vardas249          Pavarde249       9    9    4    5    7    
Vardas250          Pavarde250       7    9    1    4    9    
Vardas251          Pavarde251       3    9    5    5    2    
Vardas252          Pavarde252       7    5    0    5    9    
Vardas253          Pavarde253       5    3    9    2    0    
Vardas254          Pavarde254       10   4    5    9    7    
Vardas255          Pavarde255       10   5    10   10   1    
Vardas256          Pavarde256       1    6    6    3    10   
Vardas257          Pavarde257       5    1    7    4    7    
Vardas258          Pavarde258       2    2    8    10   8    
Vardas259          Pavarde259       4    5    6    8    3    
Vardas260          Pavarde260       4    8    6    1    1    
Vardas261          Pavarde261       2    3    4    6    2    
Vardas262          Pavarde262       9    5    5    5    2    
Vardas263          Pavarde263       10   8    1    9    9    
Vardas264          Pavarde264       6    4    5    0    3    
Vardas265          Pavarde265       5    5    1    3    8    
Vardas266          Pavarde266       0    6    10   8    1    
Vardas267          Pavarde267       8    4    2    2    1    
Vardas268          Pavarde268       9    2    4    0    3    
Vardas269          Pavarde269       5    8    5    9    0    
Vardas270          Pavarde270       9    9    10   6    2    
Vardas271          Pavarde271       3    1    6    0    1    
Vardas272          Pavarde272       0    8    3    0    9    
Vardas273          Pavarde273       10   5    8    0    6    
Vardas274          Pavarde274       9    5    2    2    5    
Vardas275          Pavarde275       10   0    1    3    8    
Vardas276          Pavarde276       8    6    9    5    2    
Vardas277          Pavarde277       0    2    10   0    3    
Vardas278          Pavarde278       5    1    9    8    1    
Vardas279          Pavarde279       7    0    2    3    8    
Vardas280          Pavarde280       2    4    7    2    5    
Vardas281          Pavarde281       3    8    8    8    0    
Vardas282          Pavarde282       6    5    1    8    3    
Vardas283          Pavarde283       7    1    8    1    3    
Vardas284          Pavarde284       10   7    0    6    5    
Vardas285          Pavarde285       0    3    10   7    7    
Vardas286          Pavarde286       10   3    9    9    9    
Vardas287          Pavarde287       9    8    0    0    5    
Vardas288          Pavarde288       9    2    7    4    5    
Vardas289          Pavarde289       4    8    0    6    3    
Vardas290          Pavarde290       6    0    0    2    7    
Vardas291          Pavarde291       1    6    0    10   10   
Vardas292          Pavarde292       10   7    8    10   3    
Vardas293          Pavarde293       4    9    0    10   1    
Vardas294          Pavarde294       6    8    8    9    0    
Vardas295          Pavarde295       0    6    1    4    4    
Vardas296          Pavarde296       5    0    7    7    3    
Vardas297          Pavarde297       1    2    0    9    6    
Vardas298          Pavarde298       8    9    1    1    1    
Vardas299          Pavarde299       1    6    8    4    3    
Vardas300          Pavarde300       5    5    7    4    2    
Vardas301          Pavarde301       0    0    3    3    10   
Vardas302          Pavarde302       4    5    2    10   7    
Vardas303          Pavarde303       7    1    5    3    2    
Vardas304          Pavarde304       0    5    6    8    7    
Vardas305          Pavarde305       4    7    4    5    7    
Vardas306          Pavarde306       5    10   6    2    4    
Vardas307          Pavarde307       10   6    7    1    5    
Vardas308          Pavarde308       7    10   5    0    7    
Vardas309          Pavarde309       9    5    4    9    1    
Vardas310          Pavarde310       6    6    5    2    5    
Vardas311          Pavarde311       9    0    10   6    10   
Vardas312          Pavarde312       0    4    6    6    5    
Vardas313          Pavarde313       8    7    4    10   3    
Vardas314          Pavarde314       4    3    5    7    6    
Vardas315          Pavarde315       8    0    0    2    7    
Vardas316          Pavarde316       9    4    3    9    6    
Vardas317          Pavarde317       9    1    10   9    8    
Vardas318          Pavarde318       5    6    0    2    6    
Vardas319          Pavarde319       7    9    5    2    0    
Vardas320          Pavarde320       8    0    8    4    1    
Vardas321          Pavarde321       6    5    1    10   9    
Vardas322          Pavarde322       2    5    5    6    9    
Vardas323          Pavarde323       2    1    3    5    2    
Vardas324          Pavarde324       7    6    9    2    0    
Vardas325          Pavarde325       6    5    5    1    3    
Vardas326          Pavarde326       8    8    1    0    1    
Vardas327          Pavarde327       1    7    7    3    8    
Vardas328          Pavarde328       7    1    5    4    7    
Vardas329          Pavarde329       6    0    4    10   1    
Vardas330          Pavarde330       7    8    3    9    1    
Vardas331          Pavarde331       7    10   3    7    4    
Vardas332          Pavarde332       1    3    10   8    0    
Vardas333          Pavarde333       8    1    10   5    9    
Vardas334          Pavarde334       6    4    7    5    9    
Vardas335          Pavarde335       8    10   10   8    1    
Vardas336          Pavarde336       4    5    5    4    7    
Vardas337          Pavarde337       7    6    8    4    5    
Vardas338          Pavarde338       2    10   5    7    8    
Vardas339          Pavarde339       0    9    10   4    4    
Vardas340          Pavarde340       9    7    5    5    10   
Vardas341          Pavarde341       4    10   10   1    9    
Vardas342          Pavarde342       0    2    9    7    6    
Vardas343          Pavarde343       2    6    0    1    0    
Vardas344          Pavarde344       6    3    0    1    0    
Vardas345          Pavarde345       7    5    8    3    4    
Vardas346          Pavarde346       0    0    5    3    9    
Vardas347          Pavarde347       5    7    8    7    0    
Vardas348          Pavarde348       1    7    2    6    1    
Vardas349          Pavarde349       2    4    9    3    6    
Vardas350          Pavarde350       9    7    1    0    8    
Vardas351          Pavarde351       3    9    3    3    7    
Vardas352          Pavarde352       1    2    6    9    8    
Vardas353          Pavarde353       8    6    8    2    3    
Vardas354          Pavarde354       1    5    0    1    9    
Vardas355          Pavarde355       7    4    7    7    4    
Vardas356          Pavarde356       8    5    4    10   5    
Vardas357          Pavarde357       4    0    8    9    0    
Vardas358          Pavarde358       9    0    5    7    8    
Vardas359          Pavarde359       6    7    8    4    1    
Vardas360          Pavarde360       0    8    7    5    8    
Vardas361          Pavarde361       4    0    5    8    1    
Vardas362          Pavarde362       2    7    3    10   5    
Vardas363          Pavarde363       9    8    2    2    9    
Vardas364          Pavarde364       1    4    8    3    0    
Vardas365          Pavarde365       4    8    4    7    6    
Vardas366          Pavarde366       10   6    6    0    5    
Vardas367          Pavarde367       1    5    0    0    3    
Vardas368          Pavarde368       6    7    4    4    3    
Vardas369          Pavarde369       6    5    9    4    7    
Vardas370          Pavarde370       9    4    0    4    9    
Vardas371          Pavarde371       10   10   1    1    5    
Vardas372          Pavarde372       7    5    4    8    7    
Vardas373          Pavarde373       5    5    7    7    9    
Vardas374          Pavarde374       9    0    1    7    9    
Vardas375          Pavarde375       4    0    10   8    7    
Vardas376          Pavarde376       5    10   8    10   9    
Vardas377          Pavarde377       7    4    3    5    8    
Vardas378          Pavarde378       5    3    8    4    0    
Vardas379          Pavarde379       9    5    3    3    0    
Vardas380          Pavarde380       6    6    1    1    10   
Vardas381          Pavarde381       6    6    3    1    3    
Vardas382          Pavarde382       4    8    9    6    0    
Vardas383          Pavarde383       3    10   1    5    6    
Vardas384          Pavarde384       10   7    2    10   1    
Vardas385          Pavarde385       6    10   5    5    2    
Vardas386          Pavarde386       9    7    6    4    6    
Vardas387          Pavarde387       3    6    5    10   1    
Vardas388          Pavarde388       1    6    4    9    8    
Vardas389          Pavarde389       2    4    7    10   5    
Vardas390          Pavarde390       3    3    5    0    9    
Vardas391          Pavarde391       8    6    6    0    4    
Vardas392          Pavarde392       0    10   2    4    4    
Vardas393          Pavarde393       5    8    10   9    1    
Vardas394          Pavarde394       7    2    9    3    5    
Vardas395          Pavarde395       3    3    0    7    0    
Vardas396          Pavarde396       3    0    7    4    9    
Vardas397          Pavarde397       7    10   8    6    2    
Vardas398          Pavarde398       0    5    4    8    2    
Vardas399          Pavarde399       2    6    7    10   6    
Vardas400          Pavarde400       2    9    7    4    9    
Vardas401          Pavarde401       0    6    8    9    0    
Vardas402          Pavarde402       1    5    9    4    5    
Vardas403          Pavarde403       6    4    2    0    0    
Vardas404          Pavarde404       6    4    5    6    5    
Vardas405          Pavarde405       9    7    3    9    6    
Vardas406          Pavarde406       3    7    8    2    5    
Vardas407          Pavarde407       2    3    6    10   5    
Vardas408          Pavarde408       7    6    3    10   1    
Vardas409          Pavarde409       9    2    5    8    0    
Vardas410          Pavarde410       6    9    9    4    9    
Vardas411          Pavarde411       10   7    7    8    6    
Vardas412          Pavarde412       2    2    9    7    3    
Vardas413          Pavarde413       7    8    3    0    10   
Vardas414          Pavarde414       0    2    2    4    3    
Vardas415          Pavarde415       5    4    6    4    8    
Vardas416          Pavarde416       7    1    4    2    9    
Vardas417          Pavarde417       4    6    7    10   10   
Vardas418          Pavarde418       0    9    4    8    5    
Vardas419          Pavarde419       10   10   4    6    3    
Vardas420          Pavarde420       1    5    0    10   1    
Vardas421          Pavarde421       2    1    10   3    4    
Vardas422          Pavarde422       2    2    1    1    8    
Vardas423          Pavarde423       2    4    5    5    1    
Vardas424          Pavarde424       10   6    7    1    4    
Vardas425          Pavarde425       9    9    10   8    2    
Vardas426          Pavarde426       2    6    9    6    0    
Vardas427          Pavarde427       4    0    0    6    2    
Vardas428          Pavarde428       1    8    9    2    10   
Vardas429          Pavarde429       8    2    8    0    10   
Vardas430          Pavarde430       9    1    8    8    8    
Vardas431          Pavarde431       4    5    8    7    10   
Vardas432          Pavarde432       0    8    6    7    3    
Vardas433          Pavarde433       1    9    5    7    3    
Vardas434          Pavarde434       5    0    10   0    4    
Vardas435          Pavarde435       7    1    10   9    9    
Vardas436          Pavarde436       8    2    2    0    3    
Vardas437          Pavarde437       10   0    2    9    6    
Vardas438          Pavarde438       1    4    10   3    8    
Vardas439          Pavarde439       1    0    8    4    1    
Vardas440          Pavarde440       9    4    4    5    10   
Vardas441          Pavarde441       1    5    7    8    9    
Vardas442          Pavarde442       8    7    4    5    4    
Vardas443          Pavarde443       6    10   7    5    8    
Vardas444          Pavarde444       7    4    6    3    1    
Vardas445          Pavarde445       7    1    4    3    10   
Vardas446          Pavarde446       9    0    5    10   8    
Vardas447          Pavarde447       3    6    8    10   1    
Vardas448          Pavarde448       1    9    7    8    9    
Vardas449          Pavarde449       2    9    1    7    7    
Vardas450          Pavarde450       3    6    6    6    1    
Vardas451          Pavarde451       2    9    0    5    7    
Vardas452          Pavarde452       9    8    1    8    8    
Vardas453          Pavarde453       10   6    1    3    4    
Vardas454          Pavarde454       1    3    5    6    4    
Vardas455          Pavarde455       2    3    1    9    2    
Vardas456          Pavarde456       0    0    2    4    9    
Vardas457          Pavarde457       4    6    1    10   4    
Vardas458          Pavarde458       10   5    2    0    1    
Vardas459          Pavarde459       3    5    5    2    7    
Vardas460          Pavarde460       6    0    5    9    2    
Vardas461          Pavarde461       9    2    8    10   1    
Vardas462          Pavarde462       8    1    2    10   4    
Vardas463          Pavarde463       0    0    10   10   5    
Vardas464          Pavarde464       10   3    0    1    0    
Vardas465          Pavarde465       3    1    1    3    0    
Vardas466          Pavarde466       4    10   1    7    0    
Vardas467          Pavarde467       10   9    7    10   4    
Vardas468          Pavarde468       1    5    4    6    10   
Vardas469          Pavarde469       0    10   2    1    10   
Vardas470          Pavarde470       6    0    7    4    5    
Vardas471          Pavarde471       0    4    9    0    1    
Vardas472          Pavarde472       1    0    1    2    6    
Vardas473          Pavarde473       9    1    2    0    3    
Vardas474          Pavarde474       6    9    1    6    8    
Vardas475          Pavarde475       7    6    8    8    6    
Vardas476          Pavarde476       6    7    0    3    10   
Vardas477          Pavarde477       5    6    3    10   7    
Vardas478          Pavarde478       6    6    7    4    8    
Vardas479          Pavarde479       5    9    7    4    8    
Vardas480          Pavarde480       2    2    3    9    4    
Vardas481          Pavarde481       9    6    10   1    2    
Vardas482          Pavarde482       7    7    4    3    6    
Vardas483          Pavarde483       0    9    7    8    3    
Vardas484          Pavarde484       9    4    5    3    1    
Vardas485          Pavarde485       10   0    2    7    6    
Vardas486          Pavarde486       7    1    5    0    9    
Vardas487          Pavarde487       1    5    3    3    6    
Vardas488          Pavarde488       1    5    3    0    5    
Vardas489          Pavarde489       9    4    7    3    3    
Vardas490          Pavarde490       8    1    1    5    2    
Vardas491          Pavarde491       9    5    1    10   8    
Vardas492          Pavarde492       3    8    5    5    4    
Vardas493          Pavarde493       9    2    4    1    8    
Vardas494          Pavarde494       4    0    7    8    2    
Vardas495          Pavarde495       5    0    8    6    10   
Vardas496          Pavarde496       8    9    9    0    1    
Vardas497          Pavarde497       2    1    6    9    3    
Vardas498          Pavarde498       10   1    8    0    2    
Vardas499          Pavarde499       3    1    6    8    4    
Vardas500          Pavarde500       0    7    1    4    4    
Vardas501          Pavarde501       8    6    3    10   5    
Vardas502          Pavarde502       8    0    1    0    7    
Vardas503          Pavarde503       1    0    2    4    1    
Vardas504          Pavarde504       7    1    9    6    2    
Vardas505          Pavarde505       5    1    5    5    8    
Vardas506          Pavarde506       3    6    1    3    6    
Vardas507          Pavarde507       1    8    2    7    1    
Vardas508          Pavarde508       7    10   8    8    9    
Vardas509          Pavarde509       9    10   7    3    3    
Vardas510          Pavarde510       9    10   2    6    6    
Vardas511          Pavarde511       5    9    10   4    5    
Vardas512          Pavarde512       10   9    8    7    2    
Vardas513          Pavarde513       6    8    10   7    1    
Vardas514          Pavarde514       5    5    4    10   0    
Vardas515          Pavarde515       2    6    4    10   7    
Vardas516          Pavarde516       3    6    6    3    10   
Vardas517          Pavarde517       6    7    5    2    0    
Vardas518          Pavarde518       9    3    3    6    6    
Vardas519          Pavarde519       2    4    1    3    6    
Vardas520          Pavarde520       7    8    9    6    8    
Vardas521          Pavarde521       8    1    0    6    2    
Vardas522          Pavarde522       3    0    7    1    2    
Vardas523          Pavarde523       10   5    6    9    0    
Vardas524          Pavarde524       7    1    4    3    6    
Vardas525          Pavarde525       2    4    8    7    4    
Vardas526          Pavarde526       10   7    7    4    4    
Vardas527          Pavarde527       1    1    8    10   4    
Vardas528          Pavarde528       6    9    8    0    1    
Vardas529          Pavarde529       7    2    8    2    2    
Vardas530          Pavarde530       3    4    9    1    7    
Vardas531          Pavarde531       3    4    6    5    10   
Vardas532          Pavarde532       6    5    0    8    6    
Vardas533          Pavarde533       8    0    2    1    9    
Vardas534          Pavarde534       7    10   4    0    8    
Vardas535          Pavarde535       5    4    7    1    6    
Vardas536          Pavarde536       5    0    4    10   4    
Vardas537          Pavarde537       10   0    7    9    4    
Vardas538          Pavarde538       0    10   1    0    0    
Vardas539          Pavarde539       6    7    9    6    4    
Vardas540          Pavarde540       5    5    3    7    7    
Vardas541          Pavarde541       10   8    3    4    3    
Vardas542          Pavarde542       0    2    5    1    0    
Vardas543          Pavarde543       0    1    10   9    2    
Vardas544          Pavarde544       2    3    0    6    9    
Vardas545          Pavarde545       9    10   4    8    6    
Vardas546          Pavarde546       6    10   0    2    5    
Vardas547          Pavarde547       1    5    9    8    7    
Vardas548          Pavarde548       0    5    0    5    5    
Vardas549          Pavarde549       7    4    0    8    4    
Vardas550          Pavarde550       3    1    5    1    5    
Vardas551          Pavarde551       0    1    10   9    10   
Vardas552          Pavarde552       4    5    0    10   6    
Vardas553          Pavarde553       0    8    3    7    2    
Vardas554          Pavarde554       1    4    3    9    1    
Vardas555          Pavarde555       1    4    1    9    1    
Vardas556          Pavarde556       3    2    3    3    2    
Vardas557          Pavarde557       0    9    7    8    4    
Vardas558          Pavarde558       6    5    5    8    0    
Vardas559          Pavarde559       0    2    5    6    7    
Vardas560          Pavarde560       5    7    2    1    4    
Vardas561          Pavarde561       7    0    7    6    1    
Vardas562          Pavarde562       3    6    9    10   10   
Vardas563          Pavarde563       8    6    2    10   9    
Vardas564          Pavarde564       2    9    9    9    9    
Vardas565          Pavarde565       4    0    1    0    4    
Vardas566          Pavarde566       4    2    0    3    4    
Vardas567          Pavarde567       10   6    0    4    10   
Vardas568          Pavarde568       9    5    9    7    6    
Vardas569          Pavarde569       0    7    3    2    3    
Vardas570          Pavarde570       9    0    4    8    2    
Vardas571          Pavarde571       0    8    4    10   4    
Vardas572          Pavarde572       2    9    10   2    7    
Vardas573          Pavarde573       1    6    7    1    7    
Vardas574          Pavarde574       6    6    8    3    1    
Vardas575          Pavarde575       4    5    5    0    9    
Vardas576          Pavarde576       4    10   1    5    1    
Vardas577          Pavarde577       3    10   7    10   7    
Vardas578          Pavarde578       9    1    9    7    6    
Vardas579          Pavarde579       7    6    5    7    10   
Vardas580          Pavarde580       4    10   10   3    8    
